ID.CARRO;ANO.FAB.;ANO.MOD.;MODELO;COMBUST.;COR;PRECO;CILIND.;PLACA;KM;ACESSOR.;MARCA;Lixo
JUX-3082;2005;2005;CORSA CLASSIC 1.0;GASOLINA;PRATA;2200000;;JUX3082;32804;AR,AL,TE,VE,WDK;;.
HHX-0352;2008;2008;PALIO FIRE CELEB. 4P;FLEX;PRATA;2300000;;HHX0352;59950;AC,DH,LDT,TE,VE;;.
JGT-3857;2006;2007;ECOSPORT XLS 1.6;FLEX;PRATA;2899000;;JGT3857;92600;A L,AC,TE,VH,DH;-;.
NSY-5442;2010;2011;KIA SOUL EX 1.6;FLEX;MARRON;4400000;;NSY5442;44395;AL,AR,SOM,TRAVA,ELVIDR,AB2,WJ1,RODA,LIMP,FREIO;KIA SO;.
NSU-8550;2010;2011;RENAULT CLIO CAM1016 VH;FLEX;PRATA;2000000;;NSU8550;59192;001,002,DR,LP,003,004;TA;.
JVP-5876;2009;2010;FOX 1.0;FLEX;PRETO;2265000;;JVP5876;52545;1,AR,7,L,RLL,3,4;VW;.
NSY-1151;2010;2011;NEW FIESTA SD SE 1.6;FLEX;VERMELHA;3100000;;NSY1151;32435;AL,AC,DH,RLL,SOM,TE,VE;-;.
OFS-4839;2012;2013;FIESTA HATCH  1.0 - FCA1P;FLEX;PRETA;2700000;;OFS4839;22064;AL.,AR.,DR.,TV.,VD.;FHC;.
NSP-8141;2010;2010;C3 GLX 1.4;FLEX;PRETA;2200000;;NSP8141;40270;AL,AR,DH,LIM,RLL,TE,VE;;.
OFN-2145;2012;2013;FIESTA HATCH;FLEX;PRETA;3000000;;OFN2145;35000;AL,AC,DH,LTD,TE,VE;FHC;.
OFI-6622;2012;2012;ECOSPORT FSL 1.6 FLEX;FLEX;VERMELHA;3800000;;OFI6622;52009;AB,AL,AC,FABS,RLL,TE,VE,DH,LDT;;.
NTB-7883;2011;2011;FIESTA HATCH 1.0;FLEX;PRETA;2300000;;NTB7883;48669;AL,AC,DHI,TE,VE;FHC;.
NTB-7817;2010;2011;FIESTA HATCH;FLEX;PRATA;2050000;;NTB7817;61814;AL.,AC,DH,LIMP,RDL,TE,VE.;FHC;.
NSE-3356;2009;2009;KA FLEX 1.0;FLEX;VERMELHA;1500000;;NSE3356;68123;AR,AL,VE;FORD;.
OFP-8532;2012;2012;ECOSPORT FREESTYLE;FLEX;PRATA;3700000;;OFP8532;9818;AL,AR,DIH,LDT,RLL,SOM,TE,VE;-;.
JWD-0483;2008;2008;CIVIC LXS FLEX;FLEX;AMARELA;2400000;;JWD0483;128957;1,2,ABS,RODAS,4,DH,LD,6,7,BC;;.
KXO-2738;2008;2009;FREELANDER 2 HSE I6;GASOLINA;PRETO;5400000;;KXO2738;66707;ABD,AL,AC,BC,FABS,SOM,TE,VE,DH,LDT,RLL;-;.
NSI-7610;2009;2010;RANGER XLS CAB. DUP 4X2;FLEX;VERMELHA;3350000;;NSI7610;36438;AL,AE,TE,VE,DH,LDT;;.
NTA-6767;2010;2011;FOX 1.6 GII;FLEX;PRATA;2800000;;NTA6767;22425;AL,AR,DH,LPD,TE,VE;VW;.
OBT-7933;2012;2013;FOX   1.6;FLEX;PRATA;3500000;;OBT7933;48623;AL,AC,CUIR,ABS,TV,VE,AB2,DH,LDT;VW;.
JVL-8519;2005;2006;FIESTA HATCH;GASOLINA;PRETA;1400000;;JVL8519;165542;AL,056;FHC;.
NSR-2525;2011;2012;FIESTA SEDAN 1.6;FLEX;CINZA TITA ;2570000;;NSR2525;37744;AL,AC,DH,TE,VE;BBB;.
JVO-4277;2008;2009;FIESTA SEDAN 1.0;FLEX;PRETO;1800000;;JVO4277;77577;AL,AC,D H,TE,VE;FORD;.
JTH-8756;2006;2007;FIESTA SEDAN 1.0;FLEX;CINZA;1700000;;JTH8756;94107;AL,AC,TE,VE,D H,LDE;FORD;.
NSH-3783;2010;2011;ECOSPORT XLT FREESTYLE 1.6;FLEX;PRETA;3200000;;NSH3783;58896;AL,AR.,RODAS,TE,VE,DH,LIM;EUA;.
NTB-5049;2010;2011;C3 AIR CROSS GLX M;FLEX;VERMELHA;3150000;;NTB5049;53305;AL,AR,RODAS,SOM,TV,VIDRO,DH,LDT;C3;.
NSH-6452;2009;2010;KA FLEX 1.0;FLEX;PRATA;1850000;;NSH6452;53217;AL,AR,D H,TE,VE;FORD;.
OTD-7675;2013;2014;NEW FIESTA HATCH 1.5L - RBB4M;FLEX;PRATA;3650000;;OTD7675;30365;ABD,AL,AC,FABS,DH,BC;FAD;.
NST-8294;2011;2011;NEW CIVIC LXL 1.8 AUTOMATICO;FLEX;PRETA;4700000;;NST8294;24974;AIR,AL,AC,BC,DH,FABS,LTD,RLL,S,TE,VE;-;.
NSW-5223;2011;2011;SPACE FOX CONFORTLINE 1.6;FLEX;PRETO;3500000;;NSW5223;29624;ABD,ALARME,DIR HI,FR,LDT,RD LIG,TV ELE,VD ELE;8AWP;.
OFO-3333;2012;2012;CRUZE SEDAN LT;FLEX;CINZA;5100000;;OFO3333;16111;ABD,AL,AC,BC,DH,FABS,RLL,S,TE,VE;-;.
JVE-3843;2008;2008;GOL 1.0 GIV;FLEX;CINZA;1850000;;JVE3843;73449;AL,AR,TRA,VID,DIR,LPD;;.
NSX-9324;2011;2012;FOX TREND 1.0;FLEX;VERMELHA;2700000;;NSX9324;16800;AL,AC,TE,VE,LDT;;.
JVN-4795;2009;2009;ECOSPORT XLS 1.6;FLEX;PRATA;2850000;;JVN4795;44415;A L,AC,SOM,TE,VH,DH;-;.
JVY-0239;2008;2009;ECOSPORT XLT 1.6;FLEX;PRETA;2500000;;JVY0239;113503;AL,AC,RD,SOM,TE,VE.,DH,LDT;.;.
NSP-4549;2009;2010;FIESTA SEDAN 1.0;FLEX;PRATA;2300000;;NSP4549;21132;AL,AC,D H,FR,TE,VE;FORD;.
NSQ-2583;2011;2011;ECOSPORT FREESTYLE;FLEX;PRETA;3500000;;NSQ2583;20184;AL,AR,DIH,LDT,RLL,SOM,TE,VE;-;.
OSZ-8609;2012;2013;FIESTA HATCH 1.0;FLEX;PRETA;2500000;;OSZ8609;7524;AL,AR,DIH,LDT.,TE,VE;FHC;.
NSM-5463;2010;2011;FIESTA SEDAN 1.6;FLEX;VERMELHA;2450000;;NSM5463;56388;AL,AR,TR,VD,D;;.
JVK-8166;2008;2009;KA 1.0;FLEX;AZUL;1800000;;JVK8166;37652;AL,AR,R,SOM,TR,VD,DH,LIM;.;.
HNZ-6551;2010;2011;UNO VIVACE 1.0;FLEX;PRATA;2350000;;HNZ6551;68471;001,02,DH,04,RD,SOM,05,07;0;.
JVM-9275;2009;2010;PALIO FIRE ECONOMY;FLEX;PRATA;2100000;;JVM9275;53453;AL.,AR,DH.,TE.,VE.;PALIO;.
NSX-7074;2011;2011;FIESTA HATCH 1.0;FLEX;PRETO;2550000;;NSX7074;43922;AL,AR,TE,VIE,D.H.,LDT.;FHC;.
NSF-2691;2009;2010;KA 1.0;FLEX;VERMELHA;1600000;;NSF2691;23047;A,AR,TR;.;.
NSL-0981;2010;2010;GOLF SPORTLINE;FLEX;PRATA;3500000;;NSL0981;26702;AL,AC,DH,TE,VIE;;.
NSN-9242;2010;2011;ECOSPORT FREESTYLE;FLEX;PRETA;3400000;;NSN9242;51483;AL,AR,DIH,LDT,RLL,TE,VE;-;.
NTB-3895;2011;2011;CLIO CAMPUS 4P;ALC/GASOLI;PRETO;2070000;;NTB3895;26590;AL,AR,DH,TRAV,VID;CLIO;.
NSF-5264;2010;2011;ECOSPORT FREESTYLE 1.6;FLEX;PRETA;3220000;;NSF5264;68468;AL,AC,DIR,LDT,RLL,SOM,TE,VE;FSL;.
